0.454,0.04584267,,,,,,,,,,,,,,,,,,,,,,,
0.455,0.048,,,,,,,,,,,,,,,,,,,,,,,
0.456,0.05024368,,,,,,,,,,,,,,,,,,,,,,,
0.457,0.05257304,,,,,,,,,,,,,,,,,,,,,,,
0.458,0.05498056,,,,,,,,,,,,,,,,,,,,,,,
0.459,0.05745872,,,,,,,,,,,,,,,,,,,,,,,
0.46,0.06,,,,,,,,,,,,,,,,,,,,,,,
0.461,0.06260197,,,,,,,,,,,,,,,,,,,,,,,
0.462,0.06527752,,,,,,,,,,,,,,,,,,,,,,,
0.463,0.06804208,,,,,,,,,,,,,,,,,,,,,,,
0.464,0.07091109,,,,,,,,,,,,,,,,,,,,,,,
0.465,0.0739,,,,,,,,,,,,,,,,,,,,,,,
0.466,0.077016,,,,,,,,,,,,,,,,,,,,,,,
0.467,0.0802664,,,,,,,,,,,,,,,,,,,,,,,
0.468,0.0836668,,,,,,,,,,,,,,,,,,,,,,,
0.469,0.0872328,,,,,,,,,,,,,,,,,,,,,,,
0.47,0.09098,,,,,,,,,,,,,,,,,,,,,,,
0.471,0.09491755,,,,,,,,,,,,,,,,,,,,,,,
0.472,0.09904584,,,,,,,,,,,,,,,,,,,,,,,
0.473,0.1033674,,,,,,,,,,,,,,,,,,,,,,,
0.474,0.1078846,,,,,,,,,,,,,,,,,,,,,,,
0.475,0.1126,,,,,,,,,,,,,,,,,,,,,,,
0.476,0.117532,,,,,,,,,,,,,,,,,,,,,,,
0.477,0.1226744,,,,,,,,,,,,,,,,,,,,,,,
0.478,0.1279928,,,,,,,,,,,,,,,,,,,,,,,
0.479,0.1334528,,,,,,,,,,,,,,,,,,,,,,,
0.48,0.13902,,,,,,,,,,,,,,,,,,,,,,,
0.481,0.1446764,,,,,,,,,,,,,,,,,,,,,,,
0.482,0.1504693,,,,,,,,,,,,,,,,,,,,,,,
0.483,0.1564619,,,,,,,,,,,,,,,,,,,,,,,
0.484,0.1627177,,,,,,,,,,,,,,,,,,,,,,,
0.485,0.1693,,,,,,,,,,,,,,,,,,,,,,,
0.486,0.1762431,,,,,,,,,,,,,,,,,,,,,,,
0.487,0.1835581,,,,,,,,,,,,,,,,,,,,,,,
0.488,0.1912735,,,,,,,,,,,,,,,,,,,,,,,
0.489,0.199418,,,,,,,,,,,,,,,,,,,,,,,
0.49,0.20802,,,,,,,,,,,,,,,,,,,,,,,
0.491,0.2171199,,,,,,,,,,,,,,,,,,,,,,,
0.492,0.2267345,,,,,,,,,,,,,,,,,,,,,,,
0.493,0.2368571,,,,,,,,,,,,,,,,,,,,,,,
0.494,0.2474812,,,,,,,,,,,,,,,,,,,,,,,
0.495,0.2586,,,,,,,,,,,,,,,,,,,,,,,
0.496,0.2701849,,,,,,,,,,,,,,,,,,,,,,,
0.497,0.2822939,,,,,,,,,,,,,,,,,,,,,,,
0.498,0.2950505,,,,,,,,,,,,,,,,,,,,,,,
0.499,0.308578,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.323,,,,,,,,,,,,,,,,,,,,,,,
0.501,0.3384021,,,,,,,,,,,,,,,,,,,,,,,
0.502,0.3546858,,,,,,,,,,,,,,,,,,,,,,,
0.503,0.3716986,,,,,,,,,,,,,,,,,,,,,,,
